Departamento,Curso,Início,Fim,Modalidade,semestre
DCBIO,Licenciatura em Ciências Biológicas,10/09/25,25/08/2026,Bolsista,2025.2
DCBIO,Odontologia,01/10/25,25/08/2026,Bolsista,2025.2
DCBIO,Bacharelado em Ciências Biológicas,01/12/25,25/08/2026,Bolsista,2025.2
DCBIO,Licenciatura em Ciências Biológicas,01/12/25,25/08/2026,Bolsista,2025.2
DCBIO,Bacharelado em Farmácia,02/03/26,25/08/2026,Bolsista,2026.1
DCBIO,Bacharelado em Farmácia,02/03/26,25/08/2026,Bolsista,2026.1
DSAU,Enfermagem,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Medicina,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Farmácia,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Bacharelado em Farmácia,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Odontologia,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Farmácia,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Medicina,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Farmácia,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Odontologia,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Odontologia,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Enfermagem,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Farmácia,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Medicina,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Medicina,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Odontologia,26/08/2025,24/02/2026,Bolsista,2025.2
DSAU,Medicina,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Farmácia,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Enfermagem,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Odontologia,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Medicina,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Medicina,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Odontologia,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Odontologia,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Odontologia,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Odontologia,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Odontologia,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Odontologia,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Medicina,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Medicina,08/09/25,25/08/2026,Bolsista,2025.2
DSAU,Medicina,10/09/2025,25/11/2025,Bolsista,2025.2
DSAU,Farmácia,26/08/2025,25/08/2026,Bolsista,2025.2
DSAU,Medicina,10/09/25,25/08/2026,Bolsista,2025.2
DSAU,Odontologia,10/09/25,25/08/2026,Bolsista,2025.2
DSAU,Farmácia,10/09/2025,31/12/2025,Bolsista,2025.2
DSAU,Enfermagem,10/09/2025,28/02/2026,Bolsista,2025.2
DSAU,Odontologia,10/09/25,25/08/2026,Bolsista,2025.2
DSAU,Medicina,10/09/25,25/08/2026,Bolsista,2025.2
DSAU,Enfermagem,10/09/25,25/08/2026,Bolsista,2025.2
DEXA,Engenharia de Computação,26/08/2025,25/08/2026,Bolsista,2025.2
DEXA,Engenharia de Computação,26/08/2025,25/08/2026,Bolsista,2025.2
DEXA,Ciências Ecônomicas,26/08/2025,25/08/2026,Bolsista,2025.2
DEXA,Engenharia de Computação,26/08/2025,24/03/2026,Bolsista,2025.2
DEXA,Licenciatura em Química,26/08/2025,25/08/2026,Bolsista,2025.2
DEXA,Licenciatura em Química,26/08/2025,25/08/2026,Bolsista,2025.2
DEXA,Engenharia de Computação,26/08/2025,25/08/2026,Bolsista,2025.2
DEXA,Engenharia de Computação,26/08/2025,31/08/2025,Bolsista,2025.2
DEXA,Engenharia de Computação,26/08/2025,25/08/2026,Bolsista,2025.2
DEXA,Licenciatura em Matemática,26/08/2025,25/08/2026,Bolsista,2025.2
DEXA,Farmácia,26/08/2025,25/08/2026,Bolsista,2025.2
DEXA,Engenharia de Computação,26/08/2025,25/08/2026,Bolsista,2025.2
DEXA,Engenharia Civil,26/08/2025,25/08/2026,Bolsista,2025.2
DEXA,Química,26/08/2025,31/01/2026,Bolsista,2025.2
DEXA,Licenciatura em Química,26/08/2025,25/08/2026,Bolsista,2025.2
DEXA,Licenciatura em Química,26/08/2025,25/08/2026,Bolsista,2025.2
DEXA,Engenharia de Alimentos,26/08/2025,25/08/2026,Bolsista,2025.2
DEXA,Engenharia Civil,26/08/2025,25/08/2026,Bolsista,2025.2
DEXA,Licenciatura em Física,26/08/2025,25/08/2026,Bolsista,2025.2
DEXA,Bacharelado em Agronomia,01/09/25,25/08/2026,Bolsista,2025.2
DEXA,Engenharia Civil, 08/09/202,25/08/2026,Bolsista,202.2
DEXA,Engenharia Civil,10/09/2025,25/08/2026,Bolsista,2025.2
DEXA,Bacharelado em Administração,26/08/2025,28/02/2026,Bolsista,2025.2
DEXA,Engenharia de Computação,10/09/2025,25/08/2026,Bolsista,2025.2
DEXA,Farmácia,10/09/2025,25/08/2026,Bolsista,2025.2
DEXA,Engenharia da Computação,08/04/2026,25/08/2026,Bolsista,2026.1
